episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,loss,q_value_mean,exploration_rate,target_updates,loss_variance_window
121,2772,-10.899999999999997,25,-1182.95,-6.933999999999996,-9.569599999999996,True,True,False,False,False,NAVIGATE,2,2,,,0.9800416000000001,0.0,
122,2796,-14.999999999999993,25,-1197.95,-9.711999999999994,-9.635599999999997,False,False,False,False,False,ANALYZE,2,2,,,0.9798688000000001,0.0,
123,2820,-11.049999999999995,25,-1209.0,-9.566999999999997,-9.596099999999996,True,True,False,False,False,NAVIGATE,3,2,,,0.9796960000000001,0.0,
124,2832,-1.8900000000000001,12,-1210.89,-8.675999999999998,-9.648399999999995,True,True,True,False,False,TREAT,4,2,,,,,
125,2848,-4.5200000000000005,16,-1215.41,-9.256999999999996,-9.543599999999996,True,True,True,False,False,TREAT,4,2,,,0.9794944000000001,0.0,
126,2876,-6.999999999999993,25,-1222.41,-8.906999999999996,-9.578799999999996,True,True,True,True,False,TREAT,0,0,,,0.9792928000000001,0.0,
127,2900,-11.199999999999998,25,-1233.6100000000001,-9.041999999999998,-9.586799999999997,True,True,False,False,False,NAVIGATE,3,1,,,0.9791199999999999,0.0,
128,2924,-14.999999999999993,25,-1248.6100000000001,-9.601999999999995,-9.611799999999995,False,False,False,False,False,ANALYZE,2,2,,,0.9789471999999999,0.0,
129,2948,-14.999999999999993,25,-1263.6100000000001,-9.601999999999995,-9.611799999999995,False,False,False,False,False,ANALYZE,1,1,,,0.9787743999999999,0.0,
130,2976,-11.599999999999996,25,-1275.21,-10.315999999999997,-9.675799999999995,True,True,False,False,False,NAVIGATE,2,1,,,0.9785727999999999,0.0,
131,3000,-8.799999999999999,25,-1284.01,-10.105999999999996,-9.613799999999996,True,True,False,False,False,NAVIGATE,3,1,,,0.9783999999999999,0.0,
132,3012,-0.2599999999999998,13,-1284.27,-8.631999999999996,-9.466399999999995,True,True,True,True,False,TREAT,0,0,,,0.9783136000000001,0.0,
133,3036,-12.499999999999993,25,-1296.77,-8.776999999999996,-9.557799999999995,True,False,False,False,False,NAVIGATE,1,1,,,0.9781407999999999,0.0,
134,3064,-14.999999999999993,25,-1311.77,-10.087999999999997,-9.840799999999994,False,False,False,False,False,ANALYZE,2,2,,,0.9779391999999999,0.0,
135,3088,-14.999999999999993,25,-1326.77,-11.135999999999996,-9.865799999999995,False,False,False,False,False,ANALYZE,2,2,,,0.9777663999999999,0.0,
136,3112,-14.999999999999993,25,-1341.77,-11.935999999999996,-10.017999999999995,False,False,False,False,False,ANALYZE,1,1,,,0.9775936,0.0,
137,3128,-5.039999999999999,17,-1346.81,-11.319999999999993,-9.979399999999995,True,True,True,False,False,TREAT,4,2,,,0.9774784000000001,0.0,
138,3156,-12.499999999999993,25,-1359.31,-11.069999999999997,-10.015899999999995,True,False,False,False,False,NAVIGATE,2,2,,,0.9772768000000001,0.0,
139,3180,-9.699999999999998,25,-1369.01,-10.539999999999996,-9.962899999999996,True,True,False,False,False,NAVIGATE,2,2,,,0.9771040000000001,0.0,
140,3204,-5.979999999999993,24,-1374.99,-9.977999999999996,-10.014899999999995,True,True,True,True,False,TREAT,0,0,,,0.9769311999999999,0.0,
